Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern2,MAKIHI00485
1000,comparison,1,1,2,2,0.2669525,,,
1100,reference,1,0,3,2,0.4329834,,,
1100,reference,0,1,4,2,0.4108124,,,
1000,reference,1,0,4,3,0.4329224,,,
1000,reference,0,0,4,3,0.255249,,,
900,comparison,0,1,4,3,0.4551239,,,
900,comparison,1,0,4,4,0.3552856,,,
1000,reference,0,1,5,4,0.466156,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,今澤,
1600,reference,1,1,0,0,2.476547,,,
400,comparison,0,0,0,0,2.043415,,,
1500,reference,1,1,0,0,1.976852,,,
500,comparison,0,0,0,0,1.97686,,,
600,comparison,0,1,0,0,1.299438,,,
1400,reference,1,1,0,0,1.543777,,,
700,comparison,0,0,0,0,1.576736,,,
1300,reference,1,1,0,0,0.9771729,,,
800,comparison,0,1,0,0,1.55484,,,
1200,reference,1,0,0,0,1.199326,,,
1100,reference,1,1,0,0,1.521378,,,
900,comparison,0,1,0,0,0.8665009,,,
1000,reference,1,1,0,0,3.231827,,,
1000,reference,0,0,0,0,4.853333,,,
900,comparison,1,0,0,1,0.9992065,,,
900,comparison,0,0,1,1,1.043915,,,
1000,comparison,0,1,1,2,1.421417,,,
1000,comparison,1,1,1,2,8.951904,,,
1100,reference,1,1,1,2,1.143829,,,
1100,reference,0,1,2,2,2.221252,,,
1000,reference,1,1,2,3,1.865753,,,
1000,comparison,0,0,2,3,1.832458,,,
1100,reference,0,1,2,4,0.7328491,,,
900,reference,1,1,2,5,0.9328613,,,
800,comparison,1,1,2,5,0.7996216,,,
900,comparison,1,1,3,5,1.465942,,,
1000,comparison,1,1,3,5,2.565491,,,
1100,comparison,1,1,3,5,0.6995239,,,
1200,reference,1,0,3,5,0.5549316,,,
1100,comparison,1,0,4,5,1.099365,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,今澤,
400,comparison,0,0,0,0,0.9438171,,,
1600,reference,1,0,0,0,0.4329834,,,
500,comparison,0,1,0,0,1.377106,,,
1500,reference,1,1,0,0,0.6329041,,,
600,comparison,0,0,0,0,1.621307,,,
1400,reference,1,1,0,0,3.442993,,,
700,comparison,0,0,0,0,0.588623,,,
800,comparison,0,0,0,0,2.14328,,,
1300,reference,1,1,0,0,1.199432,,,
1200,reference,1,1,0,0,1.921295,,,
900,comparison,0,0,0,0,0.7329712,,,
1100,reference,1,1,0,0,1.032806,,,
1000,reference,0,1,0,0,1.610382,,,
900,comparison,0,0,0,1,0.4221497,,,
1000,reference,1,0,0,2,0.9439392,,,
900,reference,1,1,0,2,1.821472,,,
1000,reference,0,1,0,2,2.942993,,,
900,comparison,0,1,0,3,0.5551758,,,
800,comparison,1,1,0,4,1.887756,,,
900,comparison,1,1,1,4,0.366333,,,
1000,reference,0,0,1,4,1.221497,,,
1000,comparison,1,0,1,5,0.6663818,,,
1100,comparison,1,0,1,5,1.477112,,,
1200,reference,1,1,1,5,1.110779,,,
1100,reference,1,1,2,5,2.498962,,,
1000,reference,1,0,2,5,1.590454,,,
900,comparison,1,0,2,5,1.155212,,,
1000,comparison,1,0,3,5,1.588135,,,
1100,reference,1,1,3,5,3.221436,,,
1000,reference,1,0,4,5,0.8225098,,,
900,comparison,1,0,4,5,0.644043,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,迫田,
1600,reference,1,0,0,0,3.375998,,,
400,comparison,0,1,0,0,0.7331581,,,
500,comparison,0,1,0,0,0.855175,,,
1500,reference,1,0,0,0,2.199028,,,
1400,reference,1,0,0,0,0.387516,,,
600,comparison,0,1,0,0,0.3889618,,,
700,comparison,0,1,0,0,0.6217957,,,
1300,reference,1,0,0,0,0.3203735,,,
800,comparison,0,1,0,0,0.5439301,,,
1200,reference,1,1,0,0,0.421402,,,
1100,reference,1,0,0,0,0.2666473,,,
900,comparison,0,1,0,0,0.4776382,,,
1000,comparison,0,0,0,0,0.3442993,,,
1000,reference,1,1,0,0,0.2995911,,,
900,comparison,1,1,0,0,0.2998505,,,
1100,reference,0,0,1,0,0.3440857,,,
1000,reference,1,0,1,1,0.5107117,,,
1000,reference,0,1,2,1,0.4330444,,,
900,comparison,0,0,2,1,0.3552399,,,
900,comparison,1,0,2,2,0.5220184,,,
1000,reference,0,1,3,2,0.3553467,,,
1000,reference,1,1,3,3,0.4329529,,,
900,comparison,0,1,4,3,0.3318024,,,
900,comparison,1,0,4,4,0.3772888,,,
1000,comparison,0,0,5,4,0.4107056,,,
1100,reference,0,1,5,4,0.3095398,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,迫田,
1600,reference,1,1,0,0,1.909655,,,
400,comparison,0,0,0,0,0.8769302,,,
1500,reference,1,1,0,0,0.5993271,,,
500,comparison,0,1,0,0,0.2110329,,,
600,comparison,0,1,0,0,0.221981,,,
1400,reference,1,1,0,0,0.2663879,,,
1300,reference,1,0,0,0,0.1894646,,,
700,comparison,0,1,0,0,0.6772919,,,
800,comparison,0,0,0,0,0.4106979,,,
1200,reference,1,1,0,0,0.4330978,,,
900,comparison,0,0,0,0,0.6773376,,,
1100,reference,1,0,0,0,0.3107681,,,
1000,reference,0,1,0,0,0.4102554,,,
1000,reference,1,1,0,1,0.433075,,,
900,comparison,1,0,0,1,0.4552002,,,
900,comparison,0,0,1,1,0.4880981,,,
1000,comparison,1,0,1,2,0.3997345,,,
1000,comparison,0,1,1,2,0.2322693,,,
1100,reference,0,0,1,2,0.2110291,,,
1100,reference,1,0,1,3,0.2441254,,,
1000,reference,0,0,2,3,0.2767487,,,
1000,reference,1,0,2,3,0.2443085,,,
900,comparison,0,0,2,3,0.3552399,,,
900,comparison,1,1,2,4,0.26651,,,
1000,comparison,1,1,3,4,0.2224274,,,
1000,comparison,0,1,3,4,0.2212982,,,
1100,reference,0,1,3,4,0.3885803,,,
1100,reference,1,0,3,5,0.287262,,,
1000,comparison,1,1,4,5,0.2779541,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,八島,
1600,comparison,1,1,0,0,1.321685,,,
400,comparison,0,1,1,0,1.110449,,,
500,comparison,0,1,1,0,2.576611,,,
1600,reference,1,1,1,0,0.6219902,,,
1500,reference,1,1,2,0,0.7441406,,,
600,comparison,0,1,2,0,0.7993202,,,
700,comparison,0,1,2,0,0.6552887,,,
1400,reference,1,1,2,0,0.7548676,,,
800,comparison,0,0,2,0,0.5219498,,,
1300,reference,1,0,2,0,0.5552444,,,
1200,reference,1,0,2,0,0.7212524,,,
900,comparison,0,0,2,0,0.6328888,,,
1100,comparison,1,1,2,0,0.9328461,,,
1000,comparison,0,1,3,0,0.710556,,,
1200,reference,1,0,3,0,0.5664063,,,
1100,reference,0,0,4,0,0.7221603,,,
1100,reference,1,0,4,1,1.043808,,,
1000,reference,0,0,4,1,0.6552277,,,
1000,comparison,1,1,4,1,0.6774139,,,
900,comparison,0,0,5,1,0.7106781,,,
1000,comparison,0,1,5,2,1.143738,,,
1100,comparison,0,1,5,2,0.5663605,,,
1200,comparison,0,1,5,2,0.4997253,,,
1300,reference,0,0,5,2,0.5774841,,,
1200,reference,0,0,5,3,0.7887726,,,
1100,reference,0,0,5,3,0.6107788,,,
1000,reference,0,0,5,3,0.7216949,,,
900,comparison,0,0,5,3,0.7328796,,,
1000,comparison,0,1,5,4,0.8773499,,,
1100,reference,0,0,5,4,0.7549438,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,八島,
1600,reference,1,1,0,0,1.987909,,,
400,comparison,0,0,0,0,0.6992702,,,
500,comparison,0,0,0,0,0.6769753,,,
1500,comparison,1,1,0,0,1.421532,,,
600,comparison,0,0,1,0,0.7661858,,,
700,comparison,0,1,1,0,0.6329269,,,
1600,reference,1,0,1,0,0.8101196,,,
800,comparison,0,1,2,0,0.8771744,,,
1500,reference,1,0,2,0,0.8443832,,,
1400,comparison,1,0,2,0,1.32151,,,
900,comparison,0,0,3,0,0.8668442,,,
1000,reference,0,0,3,0,1.010132,,,
1500,reference,1,0,3,1,0.6774826,,,
1400,reference,1,0,4,1,0.9547958,,,
900,comparison,0,0,4,1,0.7108002,,,
1300,reference,1,1,4,2,0.6556702,,,
1000,reference,0,0,4,2,0.644104,,,
900,comparison,0,0,4,3,0.7323914,,,
1200,reference,1,1,4,4,0.7101898,,,
1100,comparison,1,1,4,4,0.7882538,,,
1000,reference,0,0,5,4,0.5663757,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,若山,
1600,reference,1,0,0,0,3.198799,,,
400,comparison,0,1,0,0,2.199139,,,
500,comparison,0,1,0,0,2.143414,,,
1500,reference,1,1,0,0,1.455246,,,
600,comparison,0,1,0,0,2.64286,,,
1400,reference,1,0,0,0,0.9991837,,,
1300,reference,1,1,0,0,1.454903,,,
700,comparison,0,0,0,0,2.232933,,,
1200,comparison,1,0,0,0,2.298691,,,
800,comparison,0,1,1,0,1.288391,,,
900,comparison,0,1,1,0,1.066162,,,
1300,reference,1,1,1,0,2.420898,,,
1200,reference,1,1,2,0,2.654373,,,
1000,comparison,0,0,2,0,1.488068,,,
1100,reference,1,0,2,0,0.5883026,,,
1100,reference,0,0,2,0,0.5661469,,,
1000,comparison,0,1,2,1,1.066223,,,
1000,reference,1,0,2,2,0.6331024,,,
1100,reference,0,0,2,2,0.6106567,,,
900,comparison,1,0,2,3,3.220856,,,
1000,comparison,1,0,3,3,0.7773743,,,
1000,comparison,0,0,3,3,1.299286,,,
1100,reference,1,1,3,4,0.5882568,,,
1100,reference,0,1,4,4,0.53302,,,
1000,reference,1,0,4,5,0.644165,,,
900,comparison,1,0,4,5,2.554688,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,若山,
400,comparison,0,1,0,0,0.8994923,,,
1600,reference,1,1,0,0,1.221161,,,
1500,reference,1,1,0,0,1.499264,,,
500,comparison,0,1,0,0,0.5552216,,,
1400,reference,1,0,0,0,0.6885681,,,
600,comparison,0,0,0,0,0.5663147,,,
1300,reference,1,1,0,0,0.8885422,,,
700,comparison,0,0,0,0,0.6440964,,,
1200,reference,1,0,0,0,0.9216385,,,
800,comparison,0,0,0,0,1.19986,,,
900,comparison,0,1,0,0,0.5213089,,,
1100,reference,1,0,0,0,0.755394,,,
1000,reference,0,1,0,0,0.6108551,,,
1000,comparison,1,1,0,1,0.6105576,,,
